time,open,high,low,close,tick_volume,spread,real_volume,time_utc
1771286700,4998.35,4999.62,4996.15,4998.66,127,89,0,2026-02-17 00:05:00+00:00
1771286760,4998.6,4998.6,4996.03,4996.41,104,230,0,2026-02-17 00:06:00+00:00
1771286820,4996.39,4996.7,4996.28,4996.7,64,214,0,2026-02-17 00:07:00+00:00
1771286880,4996.64,4998.63,4996.63,4996.75,98,168,0,2026-02-17 00:08:00+00:00
1771286940,4996.73,4998.81,4996.72,4997.66,145,124,0,2026-02-17 00:09:00+00:00
1771287000,4997.71,4997.99,4995.91,4996.26,77,203,0,2026-02-17 00:10:00+00:00
1771287060,4996.25,4996.26,4989.54,4992.01,400,64,0,2026-02-17 00:11:00+00:00
1771287120,4992.0,4992.37,4986.32,4991.72,333,42,0,2026-02-17 00:12:00+00:00
1771287180,4991.83,4994.15,4991.58,4992.98,268,120,0,2026-02-17 00:13:00+00:00
1771287240,4992.91,4992.91,4990.28,4991.07,225,146,0,2026-02-17 00:14:00+00:00
1771287300,4991.07,4991.51,4990.48,4991.35,212,115,0,2026-02-17 00:15:00+00:00
1771287360,4991.39,4991.49,4989.56,4989.6,214,138,0,2026-02-17 00:16:00+00:00
1771287420,4989.58,4989.75,4985.21,4988.16,351,57,0,2026-02-17 00:17:00+00:00
1771287480,4988.14,4988.48,4986.35,4987.5,260,130,0,2026-02-17 00:18:00+00:00
1771287540,4987.5,4989.86,4987.33,4989.59,173,99,0,2026-02-17 00:19:00+00:00
1771287600,4989.55,4990.16,4988.49,4989.57,134,107,0,2026-02-17 00:20:00+00:00
1771287660,4989.63,4991.81,4988.12,4990.68,110,108,0,2026-02-17 00:21:00+00:00
1771287720,4990.68,4992.0,4990.49,4991.98,123,112,0,2026-02-17 00:22:00+00:00
1771287780,4991.98,4996.5,4991.98,4994.63,168,21,0,2026-02-17 00:23:00+00:00
1771287840,4994.65,5001.24,4993.52,4997.42,282,6,0,2026-02-17 00:24:00+00:00
